Job title,Experience,Technologies,Views,Salary
Senior Python Developer (FastAPI),3,"Python, Flask, FastAPI, SQLAlchemy",62,
Strong Junior/Middle Python Developer,,"Python, Mongo DB, SQL, NoSQL",43,
Full Stack Architect (Right Hand),,"Python / Django, React.js, RESTful API, Celery, Docker, AWS, GIT",54,
Senior Python Developer,,"SQL, Python, InterSystem IRIS",37,
Python (Django) developer,2,"Python, Django, API REST",286,$500-2000
Python developer,3,,66,
Lead Python Engineer,,,19,
Python developer,3,,310,
Senior Back-end Developer (Python),3,,91,
Middle+ Python Developer,3,"Python, Django, Docker, PostgreSQL",59,
Python Engineer,,"Python, OOP, AWS, Docker",40,до $5500
Senior Python Engineer,,,24,
"Backend Engineer (Python, Flask/FastAPI, Cloud Services, GPU Clusters, Hugging Face)",,"back-end, Backend development",46,
Senior FullStack (Python+React) Developer,,"Python, React, PostgreSQL",23,
Python Back-end Developer,3,,44,
Strong Middle Software Python Engineer,3,"Python3, Python / Django, Python, asyncio, English, Mongo DB",48,
Expert Python Developer for Ciklum,,,28,
Python (Django) Developer,2,"Django, PostgreSQL, MongoDB, Celery, Redis, Django ORM, Django Rest Framework",214,
Senior ML Engineer (GPT LNN NLP AI),,"Python, Machine Learning, AI, NLP, LNN, GPT, ETL",60,
Python Developer,3,,74,
Senior Python Developer,3,"Python / Django, PostgreSQL",47,
Middle Python Developer,2,"Django, FastAPI, Redis, Python / Django, Python3, Celery, SQLAlchemy",151,
Technical Project Manager (Lead Developer),,,26,
Middle+ Python Developer,3,"Python, AWS services, AWS DynamoDB, AWS Lambda, GraphQL",49,
Senior Python developer for SaaS,,"Python3, REST API, Flask, Django, AWS, Google Cloud, Azure",58,
Python Developer,,"Python, TypeScript, Cloudflare",47,$5000-6500
Edge Engineer (Cloudflare and Python),,"Edge, Cloudflare, Python, TypeScript, TCP/IP, DNS, HTTP",36,до $6500
Middle Python Developer,2,"AWS, Python, MondoDB",124,
"Software Engineer (Python, C)",2,"Python, C, Embedded, L2/L3 networking, Linux, OOP/OOD",101,
We are looking for Middle\Senior Python developer,3,,53,
"Python Engineer, Linux (IRC188838)",3,"Python, Docker, Linux",54,
Lead Python Engineer,,,48,$4000-5000
Senior Python Developer (6 months project),,"Python, Python / Django, Flask, Pytest",44,до $4700
Python Docker engineer (for candidates from Czech Republic with card residence),3,,60,$1000-2000
Python developer / strong junior,,"Python, Git",526,$350-1200
ML engineer,,"Python, Python scripting, Machine Learning, Swagger/OpenAPI, OpenAPI",45,
AI/ML Developer with experience in computer vision,2,"OpenCV, Tensorflow, PyTorch, Qt, C++",53,$3400-5000
Middle Python Developer,2,"Python scripting, Python, web scraping",119,
Middle Python Back-End Developer,3,,42,
Python Developer,,"Python, Azure, SQL, Linux, Elasctisearch, Kibana",46,
Sr. Software Engineer (python),,"Python, Django",40,
Python Developer,3,"Python, Django Rest Framework, Flask",94,
Senior Blockchain Developer,3,"Ethereum, solidity, DeFi, Polygon, FinTech",91,
Python Engineer (Office)  IRC179860,3,,65,
Back-End Engineer,,"Python, Go, gRPC, jitsi / jibri, ejabberd",294,$1200-3000
